Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/mÂČK),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/mČK)
Enthermal,C180 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,0.4778,0.0842,11.88,0.6332,0.7868,0.1532,91.06,-2.39,2.46,46.23,-1.34,-5.55,0.2747,Yes,No,,
Enthermal,C180 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2193,LoE 180 S2,Float Glass - 4mm,2002,,0.4777,0.0841,11.89,0.6232,0.7836,0.152,90.91,-2.57,2.49,46.07,-1.47,-5.5,0.2656,Yes,No,,
Enthermal,C180 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2193,LoE 180 S2,Float Glass - 5mm,2003,,0.4775,0.0841,11.89,0.6232,0.7807,0.1513,90.78,-2.75,2.52,45.97,-1.47,-5.53,0.2567,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2194,LoE 180 S2,Float Glass - 4mm,2002,,0.4775,0.0841,11.89,0.6064,0.7764,0.15,90.58,-2.86,2.54,45.79,-1.65,-5.39,0.2572,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2194,LoE 180 S2,Float Glass - 5mm,2003,,0.4773,0.0841,11.9,0.6065,0.7735,0.1493,90.45,-3.04,2.57,45.69,-1.66,-5.42,0.2487,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2194,LoE 180 S2,Float Glass - 6mm,2004,,0.477,0.084,11.9,0.6058,0.7664,0.1487,90.13,-3.34,2.63,45.61,-1.65,-5.45,0.2412,Yes,No,,
Enthermal,C270 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2027,LoEÂČ 270 S2,Float Glass - 4mm,2002,,0.3503,0.0617,16.21,0.3513,0.6916,0.1218,86.55,-3.66,2.78,41.56,-2.96,-2.04,0.1356,Yes,No,,
Enthermal,C270 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2028,LoEÂČ 270 S2,Float Glass - 4mm,2002,,0.3502,0.0617,16.21,0.3483,0.688,0.1204,86.37,-3.79,2.85,41.34,-3.05,-2.04,0.1322,Yes,No,,
Enthermal,C270 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2028,LoEÂČ 270 S2,Float Glass - 5mm,2003,,0.3501,0.0617,16.22,0.3484,0.6855,0.1198,86.25,-3.96,2.88,41.24,-3.05,-2.06,0.1281,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2029,LoEÂČ 270 S2,Float Glass - 4mm,2002,,0.3501,0.0617,16.22,0.3433,0.6836,0.1199,86.15,-4.11,2.87,41.26,-3.27,-1.94,0.1288,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2029,LoEÂČ 270 S2,Float Glass - 5mm,2003,,0.35,0.0616,16.22,0.3435,0.6811,0.1193,86.03,-4.27,2.9,41.17,-3.27,-1.96,0.1248,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2029,LoEÂČ 270 S2,Float Glass - 6mm,2004,,0.3498,0.0616,16.23,0.3434,0.6749,0.1189,85.72,-4.55,2.96,41.1,-3.27,-1.98,0.1216,Yes,No,,
Enthermal,C272 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4 mm Clear,2012,LoEÂČ 272 S2,Float Glass - 4mm,2002,,0.3779,0.0666,15.03,0.4004,0.7146,0.1074,87.65,-2.54,2.55,39.14,-0.81,-2.23,0.1576,Yes,No,,
Enthermal,C272 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5 mm Clear,2013,LoEÂČ 272 S2,Float Glass - 4mm,2002,,0.3778,0.0665,15.03,0.3964,0.7117,0.1066,87.51,-2.71,2.58,38.99,-0.9,-2.2,0.1528,Yes,No,,
Enthermal,C272 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5 mm Clear,2013,LoEÂČ 272 S2,Float Glass - 5mm,2003,,0.3777,0.0665,15.04,0.3965,0.7091,0.106,87.38,-2.88,2.6,38.89,-0.9,-2.22,0.1482,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6 mm Clear,2014,LoEÂČ 272 S2,Float Glass - 4mm,2002,,0.3777,0.0665,15.04,0.3893,0.7052,0.1054,87.19,-2.99,2.63,38.79,-1.02,-2.14,0.149,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6 mm Clear,2014,LoEÂČ 272 S2,Float Glass - 5mm,2003,,0.3775,0.0665,15.04,0.3894,0.7026,0.1048,87.07,-3.16,2.66,38.68,-1.03,-2.16,0.1445,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6 mm Clear,2014,LoEÂČ 272 S2,Float Glass - 6mm,2004,,0.3774,0.0665,15.05,0.3893,0.6962,0.1043,86.76,-3.45,2.72,38.6,-1.02,-2.18,0.1409,Yes,No,,
Enthermal,C340 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2165,LoEÂł 340 S2,Float Glass - 4mm,2002,,0.3228,0.0569,17.59,0.159,0.386,0.1329,68.83,-8.87,-5.53,43.38,-5.66,-12.84,0.0205,Yes,No,,
Enthermal,C340 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2166,LoEÂł 340 S2,Float Glass - 4mm,2002,,0.3227,0.0568,17.59,0.1583,0.3841,0.1314,68.69,-8.96,-5.46,43.15,-5.8,-12.74,0.02,Yes,No,,
Enthermal,C340 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2166,LoEÂł 340 S2,Float Glass - 5mm,2003,,0.3226,0.0568,17.6,0.1584,0.3827,0.1312,68.59,-9.08,-5.43,43.12,-5.79,-12.74,0.0193,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2167,LoEÂł 340 S2,Float Glass - 4mm,2002,,0.3226,0.0568,17.6,0.1575,0.3817,0.1309,68.51,-9.19,-5.42,43.07,-6.04,-12.47,0.0194,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2167,LoEÂł 340 S2,Float Glass - 5mm,2003,,0.3226,0.0568,17.6,0.1576,0.3804,0.1307,68.42,-9.31,-5.38,43.05,-6.03,-12.47,0.0188,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2167,LoEÂł 340 S2,Float Glass - 6mm,2004,,0.3224,0.0568,17.61,0.1576,0.377,0.1306,68.16,-9.51,-5.31,43.03,-6.02,-12.47,0.0183,Yes,No,,
Enthermal,C366 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2155,LoEÂł 366 S2,Float Glass - 4mm,2002,,0.2891,0.0509,19.64,0.2582,0.6433,0.1116,84.11,-5.99,3.29,39.84,-0.63,-3.66,0.0487,Yes,No,,
Enthermal,C366 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2156,LoEÂł 366 S2,Float Glass - 4mm,2002,,0.2891,0.0509,19.64,0.2567,0.6401,0.1102,83.94,-6.1,3.36,39.62,-0.73,-3.66,0.0474,Yes,No,,
Enthermal,C366 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2156,LoEÂł 366 S2,Float Glass - 5mm,2003,,0.289,0.0509,19.65,0.2569,0.6378,0.1097,83.82,-6.26,3.38,39.54,-0.71,-3.68,0.0459,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2157,LoEÂł 366 S2,Float Glass - 4mm,2002,,0.289,0.0509,19.65,0.2546,0.636,0.1098,83.73,-6.39,3.38,39.56,-0.96,-3.53,0.0461,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2157,LoEÂł 366 S2,Float Glass - 5mm,2003,,0.2889,0.0509,19.65,0.2548,0.6337,0.1094,83.61,-6.55,3.41,39.47,-0.94,-3.56,0.0446,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2157,LoEÂł 366 S2,Float Glass - 6mm,2004,,0.2888,0.0509,19.66,0.2549,0.628,0.1089,83.31,-6.81,3.46,39.41,-0.93,-3.58,0.0434,Yes,No,,
Enthermal,Q452 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2105,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2013,0.5194,0.0958,77.28,-8.15,3.6,37.23,-2.41,-2.48,0.0139,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2003,0.5168,0.0946,77.12,-8.25,3.66,37.01,-2.48,-2.52,0.0135,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.281,0.0495,20.21,0.2004,0.5149,0.0943,77.01,-8.39,3.68,36.95,-2.46,-2.54,0.0131,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.281,0.0495,20.21,0.199,0.5135,0.0945,76.93,-8.51,3.68,36.98,-2.64,-2.41,0.0132,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.2809,0.0495,20.21,0.1991,0.5117,0.0942,76.81,-8.65,3.7,36.92,-2.62,-2.43,0.0128,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 6mm,2004,,0.2808,0.0495,20.22,0.1992,0.507,0.0939,76.54,-8.88,3.74,36.87,-2.61,-2.44,0.0125,Yes,No,,
Enthermal,SB60 4mm / Vacuum 0.25mm / Clear 4mm,8.15,Clear  4mm,5282,SolarbanÂź 60 S2,Clear Float Glass,413,,0.3488,0.0614,16.28,0.3835,0.7145,0.1091,87.66,-3.63,2.89,39.43,-1.26,-2.48,0.1934,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5283,SolarbanÂź 60 S2,Clear Float Glass,413,,0.3487,0.0614,16.28,0.3792,0.7112,0.1086,87.5,-3.84,2.89,39.34,-1.39,-2.46,0.1898,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5283,SolarbanÂź 60 S2,Clear Float Glass,414,,0.3486,0.0614,16.29,0.3793,0.7064,0.1081,87.27,-4.07,2.94,39.25,-1.43,-2.46,0.1856,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Clear  6mm,5284,SolarbanÂź 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.3737,0.707,0.1078,87.3,-4.12,2.88,39.21,-1.55,-2.43,0.1853,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Clear  6mm,5284,SolarbanÂź 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.3738,0.7022,0.1073,87.06,-4.35,2.93,39.12,-1.6,-2.43,0.1813,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Clear  6mm,5284,SolarbanÂź 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.3732,0.6974,0.1083,86.83,-4.67,2.89,39.3,-1.71,-2.36,0.1781,Yes,No,,
Enthermal,SB70 4mm / Vacuum 0.25mm / Clear 4mm,8.15,SolarbanÂź 70 glass  4mm,5433,SolarbanÂź 70 S2,Clear Float Glass,413,,0.2808,0.0494,20.22,0.2562,0.6532,0.1355,84.57,-5.69,4.79,43.65,-3.1,-4.65,0.0653,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 4mm,8.95,SolarbanÂź 70 glass  5mm,5434,SolarbanÂź 70 S2,Clear Float Glass,413,,0.2807,0.0494,20.23,0.2548,0.6501,0.1347,84.41,-5.88,4.79,43.53,-3.26,-4.61,0.0641,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 5mm,9.65,SolarbanÂź 70 glass  5mm,5434,SolarbanÂź 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.23,0.2549,0.6458,0.1342,84.19,-6.09,4.84,43.47,-3.29,-4.61,0.0627,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 4mm,9.95,SolarbanÂź 70 glass  6mm,5439,SolarbanÂź 70 S2,Clear Float Glass,413,,0.2806,0.0494,20.23,0.2531,0.6462,0.1336,84.21,-6.12,4.79,43.37,-3.48,-4.55,0.0625,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 5mm,10.65,SolarbanÂź 70 glass  6mm,5439,SolarbanÂź 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.24,0.2532,0.6419,0.1332,83.99,-6.33,4.85,43.31,-3.51,-4.55,0.0612,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 6mm,11.75,SolarbanÂź 70 glass  6mm,5439,SolarbanÂź 70 S2,Clear Float Glass,415,,0.2805,0.0494,20.24,0.2528,0.6376,0.134,83.77,-6.62,4.8,43.44,-3.59,-4.49,0.0602,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5475,SolarbanÂź R67 S2,Clear Float Glass,413,,0.3503,0.0617,16.21,0.2728,0.5431,0.1915,78.75,-6.54,0.86,50.99,-2.87,-6.96,0.1176,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5475,SolarbanÂź R67 S2,Clear Float Glass,414,,0.3502,0.0617,16.22,0.2729,0.5395,0.1912,78.54,-6.74,0.91,50.95,-2.88,-6.96,0.1148,Yes,No,,
